id,observed_on,latitude,longitude
100261353,2021-11-04,30.3799320866,-89.6169486475
100261491,2021-11-04,30.3801633788,-89.6167656892
100261559,2021-11-04,30.3799415101,-89.6170606982
100634313,2021-11-08,30.379924213,-89.6167221201
100782546,2021-09-10,30.3936173431,-88.7880885045
100798231,2021-11-10,30.3801021209,-89.6168230803
101224478,2021-11-15,30.3800205098,-89.6168612033
101272770,2021-11-16,30.3799407456,-89.6168518585
101364046,2021-11-17,30.3822517898,-89.6178494872
101490276,2021-11-19,30.3799192879,-89.6168013496
101490363,2021-11-06,30.4009395485,-88.7720971142
101776378,2021-11-23,30.3822517898,-89.6178494872
101780176,2021-11-22,33.2749625173,-88.7900281933
101835180,2021-11-24,30.3822517898,-89.6178494872
101953419,2021-11-22,30.3847697994,-89.0938613105
102184627,2021-11-29,30.3822517898,-89.6178494872
102198526,2018-05-02,33.271605,-88.7760866667
102207895,2021-09-11,30.3960318,-88.8853078
102829557,2021-12-10,30.3822517898,-89.6178494872
102835521,2021-12-10,30.3797458356,-89.6176380064
103019889,2021-12-13,30.3799803865,-89.6165352112
103020061,2021-12-13,30.3798411551,-89.6167154445
103764884,2021-12-27,30.3799165889,-89.6165386511
103914515,2021-12-29,30.43211128,-88.65812342
103916583,2021-12-29,30.3799428527,-89.6166157773
103919425,2021-12-29,30.4321214701,-88.65940481
103990267,2021-12-30,30.3795568509,-89.6176563162
104475955,2022-01-06,30.3822517898,-89.6178494872
105539896,2021-10-11,30.3924026,-88.7879525
107002744,2022-02-18,30.397865,-88.7899916667
107218279,2022-02-21,30.3498309368,-88.712642086
107342885,2022-02-23,31.3495616809,-91.4229836892
107342886,2022-02-23,31.3494954957,-91.4228864219
107603535,2022-02-26,30.3979893714,-88.7902022941
108606093,2022-03-14,33.2828829722,-88.778542
108765913,2022-03-11,30.3980022608,-88.7900261575
108828407,2022-03-17,30.4162529018,-88.8327314705
108882768,2022-03-17,33.2792530868,-88.7949326709
108894841,2022-03-18,32.578322838,-89.8684754142
109006727,2022-03-19,32.2719368316,-89.0175703394
109071520,2022-03-20,32.5790383333,-89.870225
109223094,2022-03-21,33.7576865101,-90.1484729034
109223095,2022-03-21,33.754834056,-90.148574404
109242185,2022-03-22,32.3144148009,-90.1007622879
109257262,2022-03-22,30.4321044601,-88.65808797
109831344,2022-03-28,30.4010205047,-88.7554268339
110141553,2022-04-01,30.391902,-88.7997409722
110141844,2022-04-01,30.2166749722,-89.486348
110211161,2022-04-02,31.4033360537,-91.1901339104
110399273,2022-04-04,30.3450959647,-89.3084140273
110409304,2022-04-04,32.3273890017,-90.1491889954
110442040,2022-04-04,33.272095,-88.77707
110486193,2022-03-28,30.4008106315,-88.7558657181
110682242,2022-03-26,33.2655916667,-88.8090883333
110764668,2022-04-02,30.43204545,-88.65822176
110877147,2022-04-09,31.3765725391,-91.1647639912
110918613,2019-03-13,31.5447133675,-91.504585601
111150098,2022-04-11,30.40085501,-88.75522788
111150547,2022-04-11,30.4007504,-88.75484759
111342481,2022-04-13,30.3822517898,-89.6178494872
111342482,2022-04-13,30.3822517898,-89.6178494872
111369449,2022-04-13,30.3796626931,-89.6174763399
111369715,2022-04-13,30.380043188,-89.6174370378
111369744,2022-04-13,30.3799557147,-89.6172711406
111414741,2022-04-14,32.49167,-91.072975
111418329,2022-04-14,32.3929901123,-89.9629592896
111435440,2022-04-14,30.3822517898,-89.6178494872
111435447,2022-04-14,30.3822517898,-89.6178494872
111435453,2022-04-14,30.3822517898,-89.6178494872
111435457,2022-04-14,30.3822517898,-89.6178494872
111460519,2022-04-14,30.3801044894,-89.6174491094
111460655,2022-04-14,30.3805896313,-89.6176376215
111569139,2022-04-15,30.3791199026,-89.6174271739
111569313,2022-04-15,30.3791661868,-89.6172069733
111569849,2022-04-15,30.3800810408,-89.6175605973
111786845,2022-04-17,32.4618016235,-90.1153638214
111954640,2022-04-18,30.3822517898,-89.6178494872
111975018,2022-04-18,30.3798923012,-89.6173781937
111975135,2022-04-18,30.3801376593,-89.617535536
111975158,2022-04-18,30.3794388631,-89.6164954728
