longitude,latitude,id
-114.0515055,33.67352833,1431256
-114.051027,33.672928,1431258
-111.162801,32.254475,1443147
-110.736635,32.179332,1463567
-110.725795,32.164353,1470402
-112.151589,34.148067,1472276
-112.04764,33.05811,1524440
-111.89903,33.50921,1540166
-111.89903,33.50921,1540182
-111.89903,33.50921,1540235
-112.050159,34.425874,1602067
-111.167908,32.282489,1630475
-112.0406953,28.89155372,1641973
-111.097827,32.195516,1649617
-111.114757,32.201309,1783460
-112.776031,32.073266,1811695
-112.776031,32.073266,1811696
-112.776031,32.073266,1811697
-111.166801,32.243069,1816837
-111.166801,32.243069,1816838
-112.147724,32.835275,1826857
-113.066398,33.036798,1839524
-112.655472,33.130886,1857413
-112.272178,32.177891,1862623
-110.6475833,32.69168833,1910141
-112.180372,32.834689,1944159
-112.180372,32.834689,1944160
-112.180517,32.834634,1945510
-112.325007,32.842049,1949704
-112.729047,32.070805,1972552
-112.729047,32.070805,1972564
-111.059463,32.219678,2055044
-112.9488345,31.88676789,2060169
-112.047908,33.55706,2235700
-112.076195,33.350292,2235701
-113.930509,33.5945,2344460
-113.926506,33.60058,2344461
-112.0529722,33.62366167,2357916
-112.0935055,33.744155,2357945
-111.860583,33.727545,2358782
-111.939912,33.818469,2358973
-110.815037,32.175654,2377158
-110.815058,32.175799,2377160
-110.8154899,32.17610967,2391666
-112.879682,32.539932,2429103
-111.0595388,32.24225333,2440975
-110.721111,32.309447,2453652
-112.719662,32.067029,2453710
-111.8280033,33.75767167,2494114
-111.150055,32.25462,2511865
-110.80862,32.324275,2520642
-112.322317,32.844255,2536819
-110.912764,32.421986,2536855
-111.873084,33.389178,2540147
-110.7097796,32.20886513,2563666
-112.084601,33.34697,2566127
-112.084601,33.34697,2566349
-112.084601,33.34697,2566362
-110.7088999,32.21641192,2572714
-111.514087,33.572303,2579858
-111.975587,33.523053,2580414
-110.8738902,32.30763052,2581222
-111.9459217,33.46413333,2585941
-111.942583,33.459954,2586808
-111.943474,33.460455,2586839
-111.94224,33.459685,2586860
-111.947776,33.460598,2586902
-110.926479,32.221743,2590737
-114.11871,33.38231,2601148
-111.1687,32.24176167,2605930
-111.166615,32.296736,2608008
-111.712621,33.691463,2614092
-114.4132236,32.29339027,2659650
-112.748523,31.993481,2665231
-114.147123,34.574986,2684518
-112.8104936,31.96004663,2694216
-111.2085333,32.303945,2697572
-112.8011633,31.95477167,2700371
-111.79997,33.76148,2704850
-111.072121,32.229115,2723180
-111.237678,32.310322,2735229
-111.958569,33.894393,2742299
-110.811227,32.317321,2743991
-112.129718,33.978142,2745568
-110.9500921,32.33498281,2753682
-110.730407,32.181678,2755598
-111.481525,33.46056802,2762655
-111.16618,32.250373,2805969
-111.163251,32.254166,2811243
-111.159029,32.299626,2824698
-112.912588,32.033401,2879871
-113.352756,33.787365,2880912
-111.228872,31.463127,2904187
-111.83684,33.75799,2921942
-110.833896,32.282477,2932981
-111.1994082,32.3157826,2940118
-111.196629,32.254611,2997391
-110.731003,32.19025997,3008649
-111.78374,33.69431,3009018
-112.0195916,33.54104821,3011087
-110.724528,32.144168,3021633
-110.706924,32.219274,3028652
-110.706924,32.219274,3028722
-111.160625,32.251945,3033832
-111.23822,32.310682,3057244
-111.23628,32.310317,3057330
