latitude,longitude
32.4032729881,-90.0748736078
31.2169648807,-89.3629398384
31.42599,-91.4531355
30.3592277778,-89.6022138889
33.270895,-88.777625
31.42599,-91.4531355
33.2825052634,-88.7801863253
30.3272752191,-89.6299219973
30.327175,-89.6298216667
31.42599,-91.4531355
30.3928601777,-88.7974525173
30.3957124103,-88.7921545518
32.4325891092,-88.5227089045
30.3979871854,-88.7900344662
30.3494805556,-88.7134944444
