latitude,longitude
30.3536027778,-89.137025
32.32688663,-90.1466417313
33.274,-88.79
33.2775269847,-88.7762812311
33.3533032729,-90.2440813476
33.2827675362,-88.7790470461
33.272555831,-88.7898551731
33.2740773354,-88.7903367486
33.2724386111,-88.7769594444
31.54597,-90.4504783333
30.4101187972,-88.9582884311
30.3919043644,-88.7910747528
30.3919043644,-88.7910747528
33.2812483612,-88.802569744
33.2729491667,-88.7901872222
33.2832866667,-88.7788805556
33.2820375,-88.7782791667
33.2709941667,-88.7832094444
33.2709941667,-88.7832094444
33.2671025,-88.8455608333
30.3978472222,-88.7901472222
31.6862916667,-90.3453966667
30.3727371423,-88.5235602026
31.779797071,-90.1062727814
30.4099805344,-88.9564806378
32.5237666667,-89.9466866667
32.5236666667,-89.9441616667
30.6712532157,-88.632406787
30.3980077498,-88.7901133428
30.4417051378,-88.6048433132
30.4320416667,-88.6581616667
32.5236366667,-89.9439083333
30.3991777778,-88.6464527778
30.9279444018,-88.6025635039
33.2711433,-88.7836106
30.2230281284,-89.5459505048
33.2730181609,-88.7898799126
33.281659332,-88.8027916912
30.3924111111,-88.7880861111
30.3918303281,-88.7911605835
30.397904722,-88.7901185042
30.4320216667,-88.6566866667
30.3981139999,-88.7898335839
32.5291559,-89.94386577
30.39788788,-88.79278229
32.3912079601,-90.0364113711
32.5868851343,-89.8571910164
31.5831265004,-89.2877129017
31.3515149379,-91.4313983411
30.3971340414,-88.791655948
31.42599,-91.4531355
32.5845209409,-89.8617647533
31.7032555,-91.3755634
31.3731732,-91.1676975
30.524947671,-88.7782244659
31.3515833333,-91.42728
30.392325,-88.7880333333
30.3979515191,-88.7901214946
31.3165206125,-89.2678719534
31.42599,-91.4531355
30.4656303341,-88.6031938811
33.2781820582,-88.7807319654
30.2266888319,-88.7801845109
30.3268916667,-88.4626611111
30.3796030332,-88.6139106446
